Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total Nacional;Ambos sexos;2006;3,49
01 Andalucía;Ambos sexos;2006;4,24
02 Aragón;Ambos sexos;2006;3,42
03 Asturias, Principado de;Ambos sexos;2006;3,95
04 Balears, Illes;Ambos sexos;2006;3,17
05 Canarias;Ambos sexos;2006;4,06
06 Cantabria;Ambos sexos;2006;2,29
07 Castilla y León;Ambos sexos;2006;3,84
08 Castilla - La Mancha;Ambos sexos;2006;3,29
09 Cataluña;Ambos sexos;2006;2,81
10 Comunitat Valenciana;Ambos sexos;2006;3,17
11 Extremadura;Ambos sexos;2006;4,15
12 Galicia;Ambos sexos;2006;3,41
13 Madrid, Comunidad de;Ambos sexos;2006;3,07
14 Murcia, Región de;Ambos sexos;2006;4,15
15 Navarra, Comunidad Foral de;Ambos sexos;2006;2,75
16 País Vasco;Ambos sexos;2006;3,30
17 Rioja, La;Ambos sexos;2006;5,54
18 Ceuta;Ambos sexos;2006;12,49
19 Melilla;Ambos sexos;2006;5,35
